,Lab,Floor,Hood,Sash,Occupancy,Internal Temp,External Temp
0,g54,ground,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hoodvalve_flow,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hood_sash,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/occ,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
1,141,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
2,143,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
3,147b,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
4,153,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
5,153b,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
6,155,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
7,160,1st,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
8,217b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
9,221,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
10,221b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
11,227,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
12,227b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
13,233,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
14,233b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
15,241,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
16,241b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
17,253,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
18,253b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
19,257,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
20,257b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
21,260,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
22,260b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
23,267,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
24,267b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
25,303,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
26,303b,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
27,309,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
28,309b,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
29,317,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
30,317b,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
31,318,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
